position,00 dias,10 dias,20 dias,30 dias,40 dias,50 dias,60 dias,70 dias,80 dias,90 dias,100 dias,110 dias,120 dias
0.0,86.0,86.03561412202187,86.25121287565025,86.65279945737682,87.28632331843545,103.93462490305639,137.74796789957716,174.62884887448982,214.50811718324917,257.49635609923746,303.6999738177164,353.2580304040703,406.27346701589437
10.0,86.0,86.03561412202187,86.25121287565025,86.65279945737682,87.28632331843545,103.93462490305639,137.74796789957716,174.62884887448982,214.50811718324917,257.49635609923746,303.6999738177164,353.2580304040703,406.27346701589437
20.0,86.0,86.03629248428575,86.25369145189407,86.65661931206027,87.29205556811283,103.93850048850679,137.75115467464195,174.63204625248488,214.51133280453595,257.49959012785445,303.7032272250773,353.26130334959083,406.27676073747045
30.0,86.0,86.0376614658176,86.2586684052102,86.66427463010254,87.30354298325487,103.94621356798872,137.75753436221913,174.63844724972162,214.51777032564996,257.50606449910134,303.70974039115384,353.26785563162554,406.2833546136505
40.0,86.0,86.03974578941889,86.26618357458796,86.67579699260901,87.32083228009834,103.95769809940893,137.7671194136765,174.64806451320914,214.52744246072456,257.51579199136995,303.71952616308073,353.2777001713082,406.2932616449506
50.0,86.0,86.04258303827862,86.27629698370295,86.6912339591597,87.34401517476763,103.97294287981822,137.77992759120067,174.66091615473806,214.54036748006024,257.5287910235183,303.7326031100186,353.2908556918222,406.3065007125385
60.0,86.0,86.04622425360643,86.28908906251169,86.71064908249687,87.3729416661808,103.99194179085,137.79598456531414,174.67702819609738,214.55657151635148,257.5450878356573,303.7489975905643,353.3073486822449,406.32309844876795
70.0,86.0,86.05073474142876,86.30466094196336,86.73412193446059,87.4075623138604,104.01469297433941,137.8153219560389,174.69643275338052,214.5760868867632,257.5647149357369,303.7687423124117,353.3272120609733,406.3430879948591
80.0,86.0,86.05619509659695,86.32313481952933,86.76174814700201,87.44780905274078,104.04120033028369,137.83797837868872,174.7191690207136,214.59895302202162,257.58771197946805,303.7918771680441,353.35048597123597,406.3665097604973
90.0,86.0,86.06270245384866,86.34465439311758,86.7936394735582,87.49359555804982,104.07147417256351,137.8639997501477,174.74528358272255,214.6252167877146,257.6141260995945,303.8184495714421,353.3772181247095,406.3934117742639
100.0,86.0,86.0703719773733,86.36938536112072,86.82992387784257,87.54481715354804,104.10553194035414,137.89343970797896,174.77483083244795,214.65493290467163,257.64401232868465,303.84851488348386,353.4074642296459,406.4238501151034
110.0,86.0,86.07933860169699,86.39751598695354,86.87074565922742,87.60135024166006,104.14339894405202,137.92636011203848,174.80787347230844,214.68816445291105,257.6774341059621,303.8821369218451,353.44128850394856,406.4578894292969
120.0,86.0,86.08975903775122,86.42925772761258,86.91626562637211,87.66305157148197,104.18510916465033,137.96283163837387,174.84448310777682,214.72498346873937,257.7144638777313,303.9193885649716,353.4787642828256,406.495603542201
130.0,86.0,86.10181405864147,86.46484592770366,86.9666613335031,87.72975759090326,104.23070612191061,138.00293447410587,174.8847409427142,214.7654716441627,257.75518380075704,303.9603524596745,353.51997473075147,406.53707612027563
140.0,86.0,86.11571107979796,86.50454058323996,87.02212739655073,87.80128372321767,104.28024383305825,138.0467591291705,174.92873859224085,214.80972114448133,257.79968656446823,304.005121848228,353.5650136736405,406.58240107158383
150.0,86.0,86.1316870477822,86.54862718354677,87.08287590867573,87.87742363295685,104.33378788383338,138.09440738191446,174.97657903028238,214.85783556133745,257.8480763493801,304.0538015324932,353.61398656888207,406.6316845095499
160.0,86.0,86.15001165096257,86.59741764507037,87.14913697554931,87.95794849394956,104.39141663702071,138.14599337962898,175.02837769295755,214.90993102244846,257.90046994302713,304.10650899642354,353.66701163466115,406.68504538353017
170.0,86.0,86.17099086351692,86.65125135801487,87.22115938672852,88.04260627722537,104.45322260337022,138.2016449152652,175.08426375851394,214.9661374782752,257.9569980332761,304.16337570651706,353.7242211578893,406.74261680013626
180.0,86.0,86.19497083178817,86.71049637566038,87.29921127729611,88.13112093746943,104.51931389888371,138.26150482171442,175.1443815538442,215.02660012333703,258.0178066436833,304.22454856120027,353.78576295749946,406.8045475009724
190.0,86.0,86.22234210904455,86.77555078681185,87.38373268248989,88.22319237992774,104.58981642852899,138.32573304516745,175.20889261726808,215.09148145349442,258.08305918654713,304.2901919416283,353.8518024345631,406.8710039129499
200.0,86.0,86.25354424149403,86.8468443233063,87.47459877188399,88.31897024070658,104.66487564562692,138.39450836256322,175.2779774425187,215.16096303811645,258.1529382614423,304.36048953587186,353.9225244213989,406.94217202090124
210.0,86.0,86.28907070556848,86.92484026469806,87.57164568727214,88.4186411394213,104.74465908982025,138.46803088470656,175.35183798568505,215.23524803452742,258.2276481774095,304.4356468702535,353.9981357230571,407.01825991961385
220.0,86.0,86.32947419504873,87.01003770633231,87.67468835703805,88.52241707352631,104.82935924846589,138.54652489852927,175.43070052145222,215.31456406122936,258.3074178425546,304.51589421637925,354.0788680423982,407.0995007571018
230.0,86.0,86.37537225817347,87.10297424587912,87.78352031153149,88.6305383705011,104.91919692927979,138.63024222927945,175.51481902271084,215.39916659808708,258.3925041837777,304.6014900319374,354.1649814427417,407.1861562194478
240.0,86.0,86.42745329196316,87.20422910244048,87.89791334559504,88.74327745029576,105.01442530775968,138.71946629207793,175.60447924041236,215.48934309692592,258.4831962846186,304.69272512734824,354.2567685435139,407.27852075531973
250.0,86.0,86.48648291730801,87.31442642386803,88.01761824815189,88.86094467643564,105.11533568811993,138.81451770888353,175.70000426529631,215.58541850269384,258.57982086612583,304.7899281174827,354.3545599494493,407.3769269881764
260.0,86.0,86.55331078932973,87.43457844435838,88.14243263409405,88.98388881122979,105.22225897052525,138.91575624025128,175.80175674282418,215.6877577386598,258.6827449983073,304.89346835118835,354.45872738237466,407.48174903535823
270.0,86.0,86.62887795096144,87.56351419678208,88.27277461029635,89.11251222920043,105.33557974062963,139.02359432972162,175.91015207413184,215.796778436885,258.79238863864316,305.0037682159646,354.56969577923854,407.59341442416087
280.0,86.0,86.71422492505239,87.70016351834255,88.4091147853659,89.24727306497256,105.45573933909611,139.13850057847955,176.02566200102225,215.91295465854992,258.9092292153706,305.1213079972281,354.687948408685,407.71240944770835
290.0,86.0,86.81050087906173,87.84333633121386,88.55199145178679,89.38869847389067,105.58324887582947,139.26101263801115,176.14882712720694,216.0368307788459,259.0338144341532,305.24663863105997,354.81403958296926,407.83929184724656
300.0,86.0,86.91897441554046,87.99363740543808,88.70202327586148,89.53739668271795,105.71870149403037,139.39174959880685,176.28027057740744,216.16903353678026,259.16677474361495,305.3803943011578,354.94860738423165,407.97470366479314
310.0,86.0,87.04104689518566,88.15178103960903,88.85992627736054,89.6940737816299,105.86278922341307,139.53142890556228,176.42071434022375,216.31028913950942,259.3088405930006,305.52330977296424,355.0923910806336,408.11938874510116
320.0,86.0,87.17826974005195,88.31860239122726,89.02653471291738,89.85955458388193,106.01632395415676,139.6808874405085,176.57100047442617,216.46144455991305,259.46086387703724,305.6762419650157,355.2462528285833,408.27421457116907
330.0,86.0,87.33247218815436,88.4950829341628,89.20282785856725,90.03480944014876,106.18026440609431,139.84110865272854,176.73211839895123,216.62349498560388,259.62384555765266,305.8401977388969,355.4112056356867,408.4402004024985
340.0,86.0,87.50571455845254,88.68238612829467,89.38996627547111,90.22099045721473,106.35575238434379,140.01325891923275,176.90524138646467,216.7976204599945,259.7989724610477,306.0163708592115,355.5884504947989,408.6185545905921
350.0,86.0,87.69777160842654,88.881902671429,89.5893373777149,90.4194771123465,106.54415864924636,140.19873369122564,177.0917729969249,216.9852326130836,259.98766430248344,306.2061893141461,355.7794240068866,408.8107225062106
360.0,86.0,87.90837979961519,89.09531337503942,89.80261851613642,90.63193930290075,106.74714616090343,140.39922102635862,177.29341090539296,217.1880388046989,260.1916381471262,306.4113801035055,355.9858635109478,409.0184520190156
370.0,86.0,88.13724876345229,89.32467495560665,90.03186291703682,90.86042330335876,106.96675636990395,140.61678832820948,177.51223409407038,217.40812978716832,260.41299653919833,306.6340578410224,356.20989617437465,409.2438830814775
380.0,86.0,88.38462301377142,89.57254303761862,90.27962257300759,91.10747448323556,107.20553211942263,140.85400566924395,177.75082662602665,217.64810396699988,260.6543522575025,306.8768500225541,356.4541648041524,409.4896740977994
390.0,86.0,88.6537509306114,89.84214482869727,90.5491208569639,91.37630983144363,107.46669059182418,141.11411946012268,178.01245205392505,217.9112425938285,260.91900428143765,307.1430737819198,356.7220054257639,409.7591803342782
400.0,86.0,88.94879474733285,90.13763804519458,90.84451106381994,91.67107609680149,107.75437434702182,141.40130880947268,178.30131104359964,218.20176864911377,261.211197892587,307.4369971767803,357.01770976904186,410.05671758262247
410.0,86.0,89.27523923447349,90.46450755393768,91.1712722566811,91.99724477787088,108.07405665108148,141.7210919680707,178.62294802669297,218.52525382881126,261.5365320147889,307.76424691977905,357.34693350251507,410.38797094778056
420.0,86.0,89.64053409696702,90.83020231991844,91.53684386825992,92.36224417388412,108.43317441667311,142.08094765495863,178.98487344101628,218.88924167526227,261.90258310124466,308.13243287204403,357.71732141506,410.7606207075008
430.0,86.0,90.05516534327997,91.24520165264498,91.9516859090972,92.77651279349271,108.8421735956451,142.49136587803224,179.39761183528003,219.3042931633186,262.3199483443721,308.55218898319515,358.13954679312747,411.1853806133428
440.0,86.0,90.53458768192812,91.7249341832462,92.43117874916852,93.255377945696,109.3163725856738,142.96769970006096,179.87654399190623,219.7858221933335,262.8040781580125,309.03900585618743,358.6291495816311,411.6778469785365
450.0,86.0,91.10300882300274,92.29351608699983,92.9993033727876,93.8226813411518,109.87955775970654,143.5337527017739,180.44550802363946,220.3577345774981,263.3789788646257,309.6170140647213,359.2104267956937,412.2625203034639
460.0,86.0,91.8017254527416,92.99194188155859,93.69674322534445,94.51889812605542,110.57226098245758,144.2303274711984,181.14572277694822,221.06180898295977,264.0871371901584,310.3296498820223,359.9279347243617,412.9851879818511
470.0,86.0,92.71031000691676,93.8994589268367,94.60331084524681,95.42520821346267,111.47801843402193,145.14413411669642,182.06758604401386,221.99301368687418,265.0284858065365,311.28241439624526,360.8931451085625,413.96422208164006
480.0,86.0,94.01396586356036,95.2108894874701,95.9292755137299,96.77104381845588,112.84851332792499,146.5520126754819,183.51598553159627,223.48640459807598,266.5708143962512,312.87718657630313,362.5435889535096,415.67337759634825
490.0,86.0,96.3185539821323,97.68720160240997,98.60713706897097,99.6717320231649,115.98372008716515,149.9295984018502,187.12457710135928,227.3105727761651,270.59351781002016,317.0790914565656,366.908694862349,420.1832323937098
500.0,86.0,103.52877333247658,106.94604255328284,109.01010372534955,110.73591229258834,127.39319284827786,161.55118683430072,198.8746479001473,239.14666244980552,282.4936749681484,329.0318382729808,378.91471222872127,432.236653108817
510.0,86.0,96.31855039110216,97.68709538740274,98.60661794177551,99.66979194650487,115.97364471485832,149.92644776085078,187.12195902084835,227.30798080828225,270.5909161633573,317.07647982547184,366.90607408030735,420.18059605844184
520.0,86.0,94.0139592330964,95.21070010941463,95.92835447660265,96.76759216805456,112.8304912904609,146.54601703414792,183.5108322828731,223.48121370950906,266.5655511905378,312.8718532741162,362.5382029944812,415.6679323322938
530.0,86.0,92.71030028476437,93.89918709140564,94.60200656638484,95.42037159530858,111.45299326501512,145.13578840149864,182.06040406357852,221.9857747177895,265.02112503960757,311.27492286478935,360.8855430146398,413.9565003431784
