position,0 años,1 años,2 años,3 años,4 años,5 años,6 años,7 años,8 años,9 años,10 años,11 años,12 años,13 años,14 años,15 años,16 años,17 años,18 años,19 años,20 años,21 años,22 años,23 años,24 años,25 años,26 años,27 años,28 años,29 años,30 años
0.0,86.0,86.09206743203954,86.19750929116887,86.30478613406358,86.41393565437807,86.52500494605506,86.63804024115417,86.75309371044149,86.87021582992826,86.98946361788406,87.11089270561061,87.23456336638392,89.54699265667841,95.43911338641574,106.27644704016113,118.23965190760458,130.64325547771435,143.40186749880112,156.55491408191878,170.08261635781608,183.99086082523323,198.29010816101,212.99916740666194,228.10830758371864,243.62540280163006,259.5571143999862,275.9094603661426,292.6876158250977,309.89891810884825,327.5587323563611,345.65788817339285
10.0,86.0,86.09206743203954,86.19750929116887,86.30478613406358,86.41393565437807,86.52500494605506,86.63804024115417,86.75309371044149,86.87021582992826,86.98946361788406,87.11089270561061,87.23456336638392,89.54699265667841,95.43911338641574,106.27644704016113,118.23965190760458,130.64325547771435,143.40186749880112,156.55491408191878,170.08261635781608,183.99086082523323,198.29010816101,212.99916740666194,228.10830758371864,243.62540280163006,259.5571143999862,275.9094603661426,292.6876158250977,309.89891810884825,327.5587323563611,345.65788817339285
20.0,86.0,86.30988485880805,86.4138867402261,86.51975789320929,86.6275282798961,86.73725017538587,86.84894444367598,86.96265988887329,87.07843078016612,87.19630401105297,87.31639374458526,87.43918022962656,89.63700159322255,95.5838392783918,106.46676616515641,118.43425451560961,130.83843016597336,143.59736653333317,156.7508415738549,170.27890503680376,184.1874746751535,198.48717979922756,213.19658880104174,228.30610644098624,243.8235846555141,259.7556820943493,276.1084199154753,292.8869723584026,310.09864115391673,327.7588545199439,345.8584304405191
30.0,86.0,86.52665271614698,86.62932831750756,86.73389747059834,86.84038090693974,86.94883282254571,87.05924606357014,87.17166141279144,87.28609751637208,87.4030524144721,87.52229424618318,87.64423729259381,89.73548224448201,95.73192570562477,106.65827496997625,118.62979523463498,131.03450356569198,143.79374063255418,156.94761199322755,170.4760082107938,184.38487670416026,198.68500423245632,213.3947327309425,228.50459518740186,244.02242264113403,259.9548711418499,276.3079650399593,293.08687774225825,310.2988772569097,327.95945113022896,346.059406934827
40.0,86.0,86.74252115736334,86.8439760790254,86.94732591092222,87.05258005290685,87.1597926134284,87.2689310645262,87.38039521788589,87.49402928429991,87.61017169242326,87.7286128959951,87.84975252449094,89.84205541175065,95.88327680093029,106.85095196158017,118.82626777397431,131.23147215798465,143.99098737852142,157.1452240952358,170.67392515641046,184.58306625195624,198.88358118144092,213.59359881243276,228.70377329656503,244.22191603788121,260.1546806130417,276.5080946353931,293.2873307738108,310.49962513372134,328.1605211214648,346.26081708008047
50.0,86.0,86.95762191746317,87.05793175430689,87.1601033281627,87.26413977905602,87.37042703293454,87.47880682430927,87.58949743569944,87.70237075592487,87.81773914542639,87.93541374425514,88.05577948147264,89.95634168346261,96.03781906577215,107.04479667387815,119.02368243142625,131.4293461008281,144.18911589454916,157.34368649862378,170.8726636939861,184.78205014405543,199.0829169588051,213.79319253028788,228.90364550983497,244.422068907783,260.3551139893469,276.7088117582291,293.488334296208,310.70088758932565,328.3620677332184,346.4626650279305
60.0,86.0,87.17206492389313,87.27125222386817,87.37258482802953,87.47590905620345,87.58146735050522,87.689122503446,87.79907191044899,87.91121231340836,88.02583311884483,88.14276490825587,88.26237785072644,90.07796350185599,96.19548883220135,107.23981783973647,119.22205701754211,131.62814219409196,144.38814122054154,157.54301309311694,171.07223636779625,184.98183945882138,199.2830216880563,213.99352281560894,229.10421970893526,244.62288822307056,260.5561775200917,276.91012219693226,293.68989396251214,310.9026704740475,328.5640976168466,346.66495885947364
70.0,86.0,87.38633904062918,87.48488821342652,87.58553695503497,87.68817240030818,87.79302630437145,87.89997859948618,88.00920818247212,88.12063436796116,88.23452598506307,88.35073152368004,88.4696064888581,90.20654885271846,96.35622751340414,107.43602852210738,119.42141320763778,131.82788097833634,144.5880820099442,157.7432211782773,171.27265891654793,185.18244825746075,199.4839082462962,214.19460117617479,229.30550623172246,244.82438336656625,260.75787992483663,277.11203439692497,293.89201838591595,311.10498310855087,328.7666215229511,346.86771151357726
80.0,86.0,87.60116423420929,87.69908833621892,87.79906993346272,87.90103211615921,88.00519799897728,88.111462012044,88.21998654808624,88.33071125312154,88.44388642272568,88.55937688408777,88.67752375660021,90.34173570620652,96.51998106140005,107.63344522210107,119.6217757361347,132.0285860681168,144.78895996047268,157.94433097992098,171.47394986767614,185.38389326895268,199.6855920288899,214.39644154795127,229.50751788931302,245.0265663299585,260.9602328097358,277.3145601310558,294.0947201368354,311.3078395303337,328.96965584851915,347.0709425898355
90.0,86.0,87.81664055738675,87.91395169811811,88.01327909582179,88.11457930126161,88.21806895138013,88.32365471928941,88.43148436335132,88.54151587366287,88.65398283950937,88.76876491905826,88.88618928926377,90.48317620783239,96.6867007264716,107.83208834671908,119.82317270586898,132.2302843486823,144.9907999334646,158.14636572994505,171.6761306095169,185.58619398315543,199.8880911215731,214.59906060849175,229.71027042953813,245.22945240196552,261.1632516266255,277.51771576834585,294.29801731529164,311.5112604047927,329.1732248240978,347.2746807691751
